,content
51,　　2016年11月21日~25日，工信部還委託中國汽車工業協會、中國汽車技術中心等組織專家，對新能源汽車生產企業生產行為進行監督檢查，對廈門金龍、廈門金旅、比亞迪、中通客車、安徽安凱、奇瑞汽車等國內知名新能源汽車企業進行了現場檢查。專家組採取座談會、隨機抽取樣車等方式，對企業的合格證管理、零部件採購、生產檢驗、財務管理等方面進行了全面核查，重點檢查合格證管理是否一車一證，抽查車輛產品與公告參數是否一致。
52,　　整頓讓行業發展更加規範
53,　　根據中國汽車工業協會、中國汽車技術研究中心等機構對40餘家新能源汽車生產企業的調研發現，企業普遍加大了技術研發、運營管理和質量保障等方面的資金投入，產品升級換代加快，正向研發能力增強，大部分企業建立了新能源汽車產品質量運行監控平臺。比如，快充系統充電效率、功率密度、輸出電壓範圍穩步提升，實現了雙槍充電和移動支付等功能，成本較2015年下降了30%以上。
54,　　在對新能源汽車進行整頓的同時，工信部、財政部等新能源汽車推廣應用主管部門還調整補貼政策，加強監督，進一步完善產業發展政策環境。
55,　　針對專項核查中暴露出的部分車型補貼標準過高、企業過度依賴補貼政策、享受補貼的新能源汽車產品技術性能偏低、部分車輛實際使用率偏低等問題，財政部、工信部等四部委在徵求相關企業和第三方機構意見的基礎上，提出了調整完善新能源汽車補貼政策的方案：保持2016年~2020年補貼政策總體穩定的前提下，適當調整客車和專用車補貼方法，提高技術門檻，鼓勵技術進步，設置中央和地方補貼上限，防止出現地方配套補貼標準過高現象；改進補貼資金撥付方式，從2016年起，新能源汽車購置補貼資金由事前撥付改為事後清算。
56,　　據悉，新修訂通過的《新能源汽車生產企業及產品准入管理規定》，也將於近期對外正式發佈。新規定從企業設計開發能力、生產製造能力、售後服務能力和產品技術性能、質量保證能力等方面提高了准入門檻，並強化了安全監管要求，可以有效提高產品質量和安全水平。
57,    廣州日報訊 （記者鄧莉）新車有六年免檢福利，一些使用年限較長的老車卻沒有。很多車主在春節前預約年審才發現，已經預約不到一週內的號。記者近日採訪時留意到，一些老車車主有習慣性“拖延症”，年終才想起要年審。雖然廣州已經實施網上預約，分流年審車輛，但這種現象反而造成了“預約扎堆”。
58,    節前年審不好約
59,    記者從車管所、汽車4S店、機動車檢測站獲悉，車主們習慣扎堆每年12月到次年1月份年審車輛，以至於很多老車車主無法預約上合適的日期。對此，交警提示車主，應該在機動車檢驗有效期滿前90天內，向車輛所在地的車管所部門申請檢驗合格標誌。即若車輛年檢的時間是6月30日，則應選擇在4、5、6月份去辦理年檢業務。然而很多老車車主抱著僥倖心理，總是拖延到最後期限。車主劉先生表示，按照法規，超過年檢期一年以內的車輛，去車管部門辦理年檢手續時也不會面臨處罰。
60,    未及時年審上路將受罰
61,    交警部門提示，對於春節期間要長途自駕外出的車輛，在機動車檢驗有效期過期前就應完成車輛年審。根據交通法相關規定，沒有年檢的車輛不具備上路的資格，如果還繼續上路，查獲將處以扣3分，罰款200元的處罰。另外，未按時參加年審的車輛造成的一切交通事故，由當事人負全部或主要責任，保險公司將不負任何責任。
62,    老車“暗病”多 需過五關斬六將
63,    預約簡單方便，但年審過程卻不一定好過。機動車檢測站工作人員對記者表示，六年以上的老車有許多“暗病”，預約年審後，車輛能否過關要過五關斬六將，一不小心就耽誤事情。記者採訪車主時發現，六年以上的老車，在年審時被“卡”的情況較多。汽車4S店協助年審的工作人員告訴記者，為了節省時間和費用，會建議車主在車輛年審前提前一週對車輛做車況檢查，該拆的先拆掉，加大一次性通過率。萬一當天無法過關，車主就須擇日重新排隊年審，相當浪費時間。
64,    新便利：支付寶也能預約交年審
65,    支付寶也能預約年審、繳納交通罰款。記者從廣州交警獲悉，繼推出網上車管所、廣州出行易、廣州交警微信公眾號後，廣州交警依託支付寶平臺建設“廣州交警支付寶服務窗”，可向擁有廣東籍駕駛證或廣州市籍機動車的市民提供年審預約，車輛駕管業務在線查詢、辦理、提醒以及機動車交通違法處理等服務。
66,    TIPS
67,    每年節前年檢除了“扎堆”外，最常見的是車輛會因各種“小毛病”不能通過。因此檢測站人員提醒車主要注意以下事項：
68,    ·車上備齊滅火器、三角警示牌，這是必備檢測項目；
69,    ·車燈小心老化，光過暗或者過強都會可能被視為不合格；
70,    ·制動性能有沒有毛病，檢測站會進行電腦和人工測試。
71,    ·勿貼太深的太陽膜，過深的肯定不能過關；
72,    ·多餘的改裝要拆除，年檢時，車身外觀必須和行駛證一致。
73,    ·違章要及時處理，否則不予參加年審。
74,    日前，筆者來到北京僑福芳草地大廈路邊。這裡停放著8輛白色的smart共享汽車，旁邊還有一臺鑰匙存儲櫃。
75,    按照櫃子上的提示，掃碼關注了“car2share”微信號。註冊、上傳駕駛證，通過審核後，便具有了用車資格。用手機支付300元押金，將生成的二維碼進行掃描，鑰匙櫃便彈出車鑰匙，車子就能上路了。收費按時間、里程計算，每分鐘0.33元，每公里1.2元。結算成功後，將手機對準掃碼窗口，再將車鑰匙放回彈出的鑰匙櫃，就完成了租車。
76,    相關負責人表示，car2share隨心開是戴姆勒公司為中國市場量身打造的出行服務，目前處於探索階段。
77,    在註冊的過程中，記者發現用戶需要填寫所在企業的名稱和公司郵箱號。該公司表示，其服務主要針對都市白領，因此網點主要分佈在知名企業、高科技園區和商業中心附近。如果是以企業信息註冊，10多分鐘就能審核通過，如果以個人名義申請，審核一般需要1天左右。
78,    遇到事故，如何處理？該公司稱，每一臺車都購買了保險，包括車輛損失險、第三者責任險、車上人員責任險、全車盜搶險、自燃損失險、涉水險等。如遇事故，會有團隊來協助處理。用戶註冊時，雙方必須達成租車協議，才能完成註冊。若出現違章停車等主觀因素導致的過失，用戶需自行承擔罰款。
79,    在出行市場中，分時租賃被稱為單車、出租車、網約車和傳統租車之外的“第五極”，市場潛力被看好。在北京，除了car2share之外，還有TOGO、PP租車、一度用車等多家公司正在探索共享汽車市場。筆者在體驗中發現，在公交發達、網約車充足的北京，燃油共享汽車在價格上並無明顯優勢。一線城市的燃油共享汽車，如何吸引成規模的粉絲群？其答案仍有待觀察。
80,
81,□　本報記者　餘瀛波
82,"　　為有效治理大氣汙染等生態環境,全國質檢系統將更加精準地服務生態環境治理。《法制日報》記者從今天召開的全國質量監督檢驗檢疫工作會議上獲悉,鑑於燃煤排放和機動車排放是影響環境的兩個重要因素,2017年,我國將全面實施成品油國Ⅴ標準,建立機動車環保缺陷召回制度。京津冀及周邊地區要先行一步,抓好成品油專項執法打假,率先解決燃煤工業鍋爐節能環保問題。"
83,"　　“近年來,環境汙染問題備受關注,中央把生態文明建設擺在突出位置來抓。”質檢總局局長支樹平在會上強調,“我們要發揮技術優勢,推進實施能效領跑者制度,開展綠色低碳計量試點、重點領域能源資源計量示範和‘標準化+生態文明’活動,深入實施百項能效標準推進工程和綠色製造標準化提升工程,收緊節能節水、環保等標準,加強綠色產品、能源管理體系認證和溫室氣體排放核查,強化對生態環保的硬約束。”"
84,　　跨境電商進口消費品40%不合格
85,"　　2016年,我國質量安全監管水平獲得顯著提升。據支樹平介紹,去年我國共查處各類質量違法案件3.6萬起,召回缺陷消費品618.4萬件、汽車1133.5萬輛,同比分別增長8.2倍和103%。"
86,"　　支樹平透露,2016年,我國進出口商品檢驗監管體系更加完善,檢出進口不合格商品9.8萬批,目錄外進出口商品監督抽查不合格率27.6%,跨境電商進口消費品抽查不合格率40.9%。"
87,"　　與此同時,進出口食品安全治理能力不斷加強,初步建立進口食品安全治理體系,實施進口食品安全放心工程,實現進口食品監督抽檢種類全覆蓋,檢出不合格進口食品1萬餘批。"
88,"　　此外,去年我國全面啟動特種設備安全監管改革,開展特種設備安全攻堅戰,整治隱患電梯3.97萬臺,104個城市建立電梯應急處置平臺,新檢驗油氣輸送管道2.8萬公里,電梯事故數和死亡人數同比分別下降17.2%和10.9%,特種設備事故和相關事故數同比下降9.3%,萬臺設備死亡率同比下降8.3%。"
89,　　10類企業標準排行榜將發佈
90,"　　2017年是供給側結構性改革的深化之年,質檢總局將有哪些新舉措?據支樹平透露,當前,質檢總局正組織研究制定質量提升行動計劃,會同有關部門,動員社會各方力量,運用全部質檢手段,全力開展質量提升行動。"
91,"　　其中包括,建立並推行企業標準領跑者制度。在全面推開企業標準自我聲明公開和監督制度的基礎上,發佈10類企業標準排行榜,通過市場化機制,甄別先進標準,培育企業標準領跑者。探索建立消費品企業標準領跑者監督助力制度,建立標準創新型企業激勵機制,促進企業主動實施高標準。"
92,"　　開展“標準化+”行動。提高消費品質量安全標準,開展消費品標準化示範工作。加強生產性服務業標準化工作,建立與國際接軌的服務業標準體系。特別要全力推進內外銷產品“同線同標同質”工程,將實施範圍從出口食品農產品擴大到消費品,加快轉化先進適用的國際標準和合格評定程序,逐步消除國內市場與國際市場的產品“質量高差”。"
93,"　　支樹平指出,2017年,要組織質量攻關整治。對質量問題較多的重點區域,實施區域集中整治,掛牌督辦,落實屬地責任。對區域性質量問題得不到有效解決的,要敢於“亮牌吹哨”,約談政府負責人,嚴重的在媒體曝光,加強輿論監督,倒逼整改落實。"
94,　　今年起草質量促進法草案
95,"　　支樹平指出,2017年,質檢系統要圍繞推進政府職能轉變,下最大氣力加快質檢關鍵性改革。"
96,"　　他要求,今年,列入清單的24項行政執法事項要在全系統全面推開,全部實現隨機抽查。要優化執法檢查方式,探索大數據精準監管,推進“菜單式”執法創新,打造“雙隨機”升級版。要把風險管理、信用監管、日常監管結合起來,建立安全風險評估機制,及時發佈風險預警,加快推進質量信用分級分類管理,完善差別化管理與動態升降級措施,建立監管質量安全信用“黑名單”,定期集中公佈質量安全違法典型案件,提高事中事後監管有效性。"
97,"　　在質檢收費改革方面,要配合相關部門儘早發佈質檢系統行政事業性收費監管指南,嚴格落實收費公示要求和明碼標價制度,全面清理不合理收費,加大違規收費聯合督查力度,切實規範系統內涉企收費行為。"
98,    廣州日報訊 （記者段郴群）從2017年1月1日起，新能源汽車補貼額度比2016年降低20%，地方財政補貼不得超過中央單車補貼額的50%。
99,    在萬幫新能源研究院日前舉辦的“電動汽車佈局2017”研討會上，中信證券汽車首席分析師許英博表示，新的政策與以往相比，提高了補貼門檻，各項標準也顯著提升。有媒體粗略統計，一輛原價25萬元的純電動汽車，2016年國家補貼5.5萬元、地方政府補貼5.5萬元，共計補貼11萬元，補貼後實際價格為14萬元。而按照2017年1月日實行的補貼新政，國家補貼4.4萬元，地方最高補貼2.2萬元，共計6.6萬元，2017年的補貼共減少了4.4萬元，這對消費者來說，純電動車在補貼後價格上出現上漲。
100,    有媒體昨日稱，新的補貼標準實施後，個別汽車廠商的新能源汽車開始漲價。其中某品牌新能源汽車之前補貼後的售價為6.28萬元，現在漲價3.6萬元;而另一家知名車企三款新能源汽車的續航里程都在300公里以上，均漲價4.4萬元。
101,    但有廠商表示，在補貼標準下來之後，廠商將先自己出錢，暫時彌補補貼缺口。據記者瞭解，2017年春節前，北汽全系車型不會漲價，在部分地區的車型，在春節前購車的用戶，由北汽新能源出資承擔補貼政策改變導致的4.4萬元差價，消費者仍然可以以補貼政策改變前的終端零售報價（不含促銷）買到北汽新能源的產品。同時，吉利也表示在1月份購買新能源車保持原價銷售。
102,    萬幫新能源董事長、星星充電董事長邵丹薇表示，調高售價的車型大部分是即將退市的車型。2014年底也曾有過一次補貼力度減小，在2015年第1季度，眾多車企紛紛調高了售價，但春節一過，各車企又以促銷或上新車型的形式下調了價格。
103,　　為確保國家政策落到實處，嚴防“騙補”事件再次發生，新能源汽車補貼政策實時調整機制、新能源汽車運行實時監測機制、事中事後監管制度等也在建立和完善。
104,　　爆發的風口或即將到來
105,　　“對這幾家騙補企業的處罰，實際上起到了警示作用，讓那些違法亂紀的企業付出代價，讓那些沒有違法亂紀的企業不敢違法，保證我國新能源汽車產業的健康發展。”中國汽車工程協會祕書長張進華告訴本報記者。
106,　　值得一提的是，近日格力電器總裁董明珠已經參與收購了國內一家動力電池企業，準備進入新能源汽車領域；國內互聯網企業樂視掌門人賈躍亭也已經對外公佈，其量產電動汽車將亮相美國。
107,　　張進華認為，目前國內在新能源汽車技術方面已經走在了世界前列，無論是零部件還是整車，都出現了一批比較優秀的企業，比如比亞迪、江淮、北汽等，這些自主品牌的新能源汽車在國際上已經佔據了比較有利的位置，這將促進我國新能源汽車進一步的發展。
108,　　實際上，近些年來，我國新能源汽車的發展也受到頗多質疑。國家雖然多次出臺政策予以鼓勵，但由於電池等技術的限制，直到2015年整個行業才呈現快速發展的局面，卻又遭遇“騙補”風波。如今，在政府的大力支持下，中國新能源汽車已經逐漸邁向良性發展的道路。
109,　　在後“騙補”時代，中國新能源汽車的風口也許真的不遠了。記者 孫喜保
110,　　火車票搶不上，飛機票價格貴，大巴車體驗差，租車返鄉過年，成為不少人的選擇。1月5日，國內最大汽車租賃企業神州優車副總裁臧中堂作客103.9一路暢通欄目時透露，春節是租車旺季，北上廣、三亞、海口等城市最為火爆，500公里內租車返鄉過年最受歡迎，85後、90後人群租車增長率明顯。
111,"　　,關鍵詞：春節預定"
112,　　臧中堂提到，春節是全年租車最旺季，每年農曆臘月20左右訂車開始緊張，臘月27、28，車輛基本一租而空。北京、上海、廣州、海口、三亞屬於租車量前五的城市，今年，旅遊城市租車火爆的特點尤為顯著，比如昆明、大理、重慶、成都、三亞、海口、廈門等城市。
113,　　神州租車大數據顯示，500公里以內、五六小時車程的範圍是最適合租車，85後、90後群體用車增長趨勢明顯。三四線城市租車需求越來越多，臧中堂提到，這主要得益於高鐵佈線的密佈，另外飛機也越來越多直達三四線城市，比如雲南的大理、騰衝等地。
114,　　從1月5日到18日，神州租車推出特價風暴，13款車型齊降價，最低69元就能租一天。還車後還將有機會抽取iPhone7。
115,"　　,關鍵詞：北京特點"
116,　　作為首都，北京租車有其獨有特點。首先，女性用戶比其他地區多，這與北京規範的交通出行環境有關，女性社交活動多也是原因之一。其次，海淀用戶較其他區域多，這與海淀高校較多有關，租車很大部分客戶群體為大學老師和學生。第三，從旅遊方面講，北京用戶租車前往方圓兩百公里內的京郊遊多。
117,　　神州大數據顯示，近幾年，女性司機在整個租車用戶裡增長快於男性，43%用戶為女性。另外，由於家庭規模的改變，七座商務車逐漸興起，尤其是節假日、春節時，GL8這款車憑藉其差大空間，往往被一租而空。
118,"　　,關鍵詞：租車+專車"
119,　　對於國內租車市場未來發展，臧中堂提到，目前，中國租車市場的滲透率僅為0.4%，而日本、美國、巴西等地方市場滲透率達到1.5%以上，這說明中國租車業發展空間還非常巨大。近幾年，尤其是高鐵的密佈、飛機線路的拓展，再加上公車改革的推進，都大大提升了租車業的市場空間。
120,　　隨著汽車共享及環保出行理念的普及，越來越多的人用租車+專車的方式替代購車。臧中堂表示，租車較購車有很多優勢，購車、養車以及停車費等用車成本高，折舊成本也很高，租車還可以選擇不同車型，不必在車輛維修、保養上花費心思。另外，目前，日常上班或者商務出行，打車、坐專車都非常方便。所以，神州建成了租車+專車的全國最大的B2C資源共享池，滿足用戶租車、打車的需求。未來，神州優車將重塑人車生態圈，用戶所有的汽車生活可以在神州優車整個平臺上完成，租車、坐專車、買車、汽車金融，甚至維修、保養、保險未來都會在平臺上一一完成。
121,"　　,春節租車全年最火爆 訂車需提前 "
122,"　　,主持人李莉,：今年,由於購買火車票的時間變化，被稱為史上最難搶票年。火車票一票難求，機票價格飛漲，大巴人多又體驗不理想，不少人選擇租個車回家。今天我們請來了一位專家好好和您聊聊租車這件事，接下來介紹的是神州優車副總裁臧中堂先生。"
123,"　　,楊洋,：說到神州優車，其實旗下就有神州租車、神州專車、神州買買車，還有神州優車閃貸這四大板塊，都是神州優車，請您介紹一下。"
124,"　　,臧中堂,：大家比較熟悉神州租車，在全國將近300個城市都有服務網點。直營網點支持異地還車，也可以免費上門送取車。這個業務也是在香港上市的上市公司。"
